Hotel Name,Type,Classification,Rooms,latitude,longitude,,,
"Mansard Riyadh, a Radisson Collection Hotel",Hotels,Unclassified,191,24.783674,46.652802,,,
Innyar OPC,Hotels,⭐⭐,74,24.788652,46.651053,,,
Hosta Serviced Apartments,Serviced Apartments,Unclassified,45,24.814008,46.652378,,,
Sama Al Diyafah Hotel,Serviced Apartments,Premium,72,24.821009,46.649339,,,
Al Raha Residence,Serviced Apartments,Standard,13,24.82574,46.681399,,,
Rawaat Al Narjis Furnished Residential Units,Serviced Apartments,Premium,24,24.825979,46.681958,,,
Dana Al Narjes Furnished Residential Units,Serviced Apartments,Standard,22,24.826706,46.682478,,,
Amar Furnished Residential Units,Serviced Apartments,Standard,22,24.796039,46.676508,,,
Riyadh Inn Hotel,Hotels,⭐⭐⭐,52,24.805298,46.671794,,,
Masaken Al Meral Furnished Residential Units,Serviced Apartments,Standard,24,24.766883,46.662952,,,
Dar Ayar Furnished Residential Units,Serviced Apartments,Standard,24,24.780578,46.668802,,,
Nozol Aram Furnished Residential Units,Serviced Apartments,Premium,12,24.781605,46.669649,,,
Diala Furnished Residential Units,Serviced Apartments,Standard,30,24.781583,46.669854,,,
Ribal Furnished Residential Units,Serviced Apartments,Standard,50,24.78212,46.671048,,,
Wahat al Nafil Serviced Apartments,Serviced Apartments,Standard,42,24.782424,46.672128,,,
Rest Night Furnished Residential Units,Serviced Apartments,Standard,46,24.782816,46.672842,,,
Evan Suites Furnished Residential Units,Serviced Apartments,Standard,30,24.782688,46.67239,,,
Landmark Furnished Residential Units,Serviced Apartments,Standard,27,24.782727,46.672641,,,
Comfort Inn,Serviced Apartments,Standard,41,24.77055,46.69118,,,
Wahat Al Nafil,Serviced Apartments,Standard,24,24.771596,46.676799,,,
Boudl,Serviced Apartments,Luxury,36,24.796549,46.697944,,,
Burj Al Hayat Furnished Suites,Serviced Apartments,Premium,31,24.801092,46.698824,,,
New Lyle Furnished Suites,Serviced Apartments,Standard,49,24.801658,46.700054,,,
Maqsurat Merfal Furnished Residential Units,Serviced Apartments,Standard,42,24.802678,46.702784,,,
Samaya Furnished Residential Units,Serviced Apartments,Premium,12,24.801005,46.707821,,,
Nekhbat Al Nekhbah Residential Units,Serviced Apartments,Standard,26,24.789434,46.70275,,,
Jazalat Riyadh Furnished Apartments,Serviced Apartments,Standard,32,24.791441,46.710416,,,
Topaz Suites Company Limited,Serviced Apartments,Standard,30,24.790309,46.711668,,,
"Madareem Crown Hotel, a Branch of Madareem Company",Hotels,Unclassified,179,24.799607,46.718163,,,
Samayah Hotel Apartments,Hotels,⭐,33,24.800475,46.708261,,,
